ISO2,Name,meteorological,hydrological,Climatological (other),climatological (heatwaves)
AL ,Albania,11.625,482.035,83.882,0.0
AT,Austria,4197.481,12159.282,1704.8,1695.84
BA,Bosnia and Herzegovina,0.795,2742.128,20.604,2577.011
BE,Belgium,5885.755,12231.528,0.0,286.902
BG,Bulgaria,743.766,5458.379,89.38,0.175
CH,Switzerland ,9675.414,12621.037,9.804,442.835
CY,Cyprus,43.737,0.0,6.277,409.0
CZ,Czechia,2881.442,17633.829,391.229,804.312
DE,Germany,79709.787,80029.496,5295.108,21873.317
DK,Denmark,6161.771,2059.435,,1125.694
EE,Estonia,331.338,0.982,0.0,19.769
EL,Greece,3712.905,6592.035,5248.258,2758.299
ES,Spain,18730.092,55196.143,15182.122,30468.79
FI,Finland,490.196,569.76,1362.486,0.0
FR,France,54709.35,44080.973,15681.023,23632.231
HR,Croatia,506.028,2185.3,91.299,1959.697
HU,Hungary,468.786,4188.876,1.232,8153.95
IE,Ireland,3035.133,1797.88,,0.0
IS,Iceland,3.424,24.021,0.0,
IT,Italy,20658.93,78161.526,13024.97,33381.057
LI,Liechtenstein,1.099,9.91,11.285,0.0
LT,Lithuania,192.749,1211.657,438.314,1125.555
LU,Luxembourg,1119.912,289.404,,0.0
LV,Latvia,593.142,587.332,121.289,0.0
ME,Montenegro,34.976,34.129,13.608,
MK,North Macedonia,1.579,683.687,140.264,0.0
MT,Malta,30.085,52.481,,0.0
NL,Netherlands,11302.97,1936.874,0.0,0.771
NO,Norway,3158.064,1298.925,3.751,0.774
PL,Poland,837.544,25494.704,114.348,1438.171
PT,Portugal,2166.671,2329.707,8131.954,5024.871
RO,Romania,81.774,15044.597,347.168,8490.576
RS,Serbia,15.667,3501.542,1592.777,10082.891
SE,Sweden,3419.032,195.135,216.972,0.0
SI,Slovenia,1653.669,14799.4,235.118,1791.854
SK,Slovakia,692.365,1473.874,0.0,383.034
TR,Türkiye,695.851,6969.925,310.781,1.367
XK,Kosovo*,1.024,22.574,0.0,
